cluster,insecurity_score,incivility_score,trust_score
0,1.7163969642151673,1.5717730431879444,3.0555305168593945
1,1.6420853879327124,1.4174808281368787,1.9795972433650872
2,1.1848946667807108,1.8722895858867585,1.8035713111790217
