NOM_CD,insecurity_score
URUAPAN,1.6950399505797291
CULIACAN ROSALES,1.688279150255784
FRESNILLO,1.6860878312455936
TAPACHULA,1.658112925833859
CHILPANCINGO DE LOS BRAVO,1.6459256584256587
VILLAHERMOSA,1.6425557716742683
HEROICA PUEBLA DE ZARAGOZA,1.6317675013665602
IRAPUATO,1.6266228446412783
CUERNAVACA,1.6263691994588227
ECATEPEC DE MORELOS,1.6211892787794102
