NOM_CD,quarter,SEXO,insecurity_score,insecurity_level,cluster
AGUASCALIENTES,2025_Q1,1,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,2,1.0909090909090908,Low,0
AGUASCALIENTES,2025_Q1,2,1.5833333333333333,Medium,0
AGUASCALIENTES,2025_Q1,2,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,2,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,2,1.5833333333333333,Medium,1
AGUASCALIENTES,2025_Q1,1,1.4166666666666667,Medium,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.3333333333333333,Medium,1
AGUASCALIENTES,2025_Q1,1,1.1666666666666667,Low,0
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.75,High,1
AGUASCALIENTES,2025_Q1,1,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,1,1.8,High,1
AGUASCALIENTES,2025_Q1,1,1.1,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.3636363636363635,Medium,1
AGUASCALIENTES,2025_Q1,2,1.6666666666666667,High,0
AGUASCALIENTES,2025_Q1,2,1.1818181818181819,Low,2
AGUASCALIENTES,2025_Q1,1,1.125,Low,2
AGUASCALIENTES,2025_Q1,2,1.125,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.9090909090909092,High,0
AGUASCALIENTES,2025_Q1,2,1.1,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.3333333333333333,Medium,0
AGUASCALIENTES,2025_Q1,2,1.2222222222222223,Low,2
AGUASCALIENTES,2025_Q1,2,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.7,High,1
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,2,1.3333333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,2,1.1818181818181819,Low,2
AGUASCALIENTES,2025_Q1,2,1.1,Low,2
AGUASCALIENTES,2025_Q1,2,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,2,1.25,Medium,2
AGUASCALIENTES,2025_Q1,2,1.8333333333333333,High,1
AGUASCALIENTES,2025_Q1,2,1.2727272727272727,Medium,2
AGUASCALIENTES,2025_Q1,2,1.5,Medium,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.2222222222222223,Low,2
AGUASCALIENTES,2025_Q1,1,1.1818181818181819,Low,2
AGUASCALIENTES,2025_Q1,2,1.3333333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,2.0,High,0
AGUASCALIENTES,2025_Q1,2,1.6666666666666667,High,1
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,1,1.2,Low,2
AGUASCALIENTES,2025_Q1,2,1.3,Medium,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,
AGUASCALIENTES,2025_Q1,1,1.8,High,1
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.3333333333333333,Medium,1
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.5,Medium,2
AGUASCALIENTES,2025_Q1,2,1.8333333333333333,High,
AGUASCALIENTES,2025_Q1,1,1.375,Medium,0
